['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/RosieApp/rails/pull/1', 'https://github.com/square/rails/pull/14', [0.421749108170342, 0.04819876668528557, 0, 1.0, 1.0, 0, 1, 1.3789333566877398], 0.9926570291582558, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/chancancode/rails/pull/1', 'https://github.com/square/rails/pull/24', [0.183944977839787, 0.0, 0.07103825136612021, 0.6666666666666666, 0.0, 0, 2, 1.0], 0.8794385501126823, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/amatsuda/rails/pull/1', 'https://github.com/prathamesh-sonpatki/rails/pull/1', [0.4765214650588456, 0.0, 0, 0.6666666666666666, 0.0, 0, 2, 1.0], 0.918098644937232, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/losangelesdj/rails/pull/1', 'https://github.com/lukaszx0/rails/pull/1', [1.0, 1.0, 0, 0, 0.0, 0, 0, 2.388836477505963], 0.9452846010017141, True]
['https://github.com/hyrrot/rails/pull/1', 'https://github.com/lukaszx0/rails/pull/1', [1.0, 0.9909987610319235, 0, 0, 0.0, 0, 0, 2.388836477505963], 0.9446730102257497, True]
['https://github.com/hyrrot/rails/pull/1', 'https://github.com/losangelesdj/rails/pull/1', [1.0, 0.9909987610319235, 0, 0, 0.0, 0, 0, 2.388836477505963], 0.9446730102257497, True]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/RosieApp/rails/pull/1', 'https://github.com/square/rails/pull/14', [0.421749108170342, 0.04819876668528557, 0, 1.0, 1.0, 0, 1, 1.3789333566877398], 0.9926570291582558, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/chancancode/rails/pull/1', 'https://github.com/square/rails/pull/24', [0.183944977839787, 0.0, 0.07103825136612021, 0.6666666666666666, 0.0, 0, 2, 1.0], 0.8794385501126823, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/amatsuda/rails/pull/1', 'https://github.com/prathamesh-sonpatki/rails/pull/1', [0.4765214650588456, 0.0, 0, 0.6666666666666666, 0.0, 0, 2, 1.0], 0.918098644937232, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/losangelesdj/rails/pull/1', 'https://github.com/lukaszx0/rails/pull/1', [1.0, 1.0, 0, 0, 0.0, 0, 0, 2.388836477505963], 0.9452846010017141, True]
['https://github.com/hyrrot/rails/pull/1', 'https://github.com/lukaszx0/rails/pull/1', [1.0, 0.9909987610319235, 0, 0, 0.0, 0, 0, 2.388836477505963], 0.9446730102257497, True]
['https://github.com/hyrrot/rails/pull/1', 'https://github.com/losangelesdj/rails/pull/1', [1.0, 0.9909987610319235, 0, 0, 0.0, 0, 0, 2.388836477505963], 0.9446730102257497, True]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
['https://github.com/rails-br/rails/pull/1', 'https://github.com/rorlakr/rails-guides/pull/9', [0.3845208485471472, 0.0, 0.003284072249589491, 0.25, 1.0, 0, 1, 1.0], 0.8999246542967135, False]
